"Mean speed","Median speed","Interquatile range of the speeds","11st Percentile of speed","1010th Percentile of speed","2525th Percentile of speed","7575th Percentile of speed","9090th Percentile of speed","9999th Percentile of speed","Mean acceleration","Median acceleration","Min acceleration","Max acceleration","11st Percentile of acceleration","1010th Percentile of acceleration","2525th Percentile of acceleration","7575th Percentile of acceleration","9090th Percentile of acceleration","9999th Percentile of acceleration"
12.3204224,15.691104,9.868408,0.849376,2.7180032,7.074408,16.942816,18.060416,18.99294144,-0.00345514432234,0.0,-2.04148266667,1.86266666667,-2.04148266667,-1.2338304,-0.283125333333,0.257048,1.1176,1.85238474667
17.055733188,17.792192,8.761984,0.536448,4.0501824,11.533632,20.295616,30.264608,31.650432,0.000276100999092,0.0,-2.13089066667,2.30970666667,-1.78875605333,-0.745066666667,-0.230970666667,0.178816,0.780829866667,2.01287210667
12.0715701333,14.014704,9.566656,0.59590432,2.4453088,7.443216,17.009872,18.909792,19.714464,-0.0115724819048,0.0,-2.414016,2.503424,-2.34323466667,-1.408176,-0.551349333333,0.461941333333,1.207008,2.20331114667
18.0611979942,18.32864,9.030208,0.849376,5.275072,12.07008,21.100288,31.113984,32.231584,0.00572468668834,0.0,-2.30970666667,2.30970666667,-1.90588053333,-0.6526784,-0.193717333333,0.178816,0.745066666667,2.00393130667
15.5581309554,16.942816,15.288768,0.536448,2.8521152,8.04672,23.335488,25.838912,29.11213888,-0.014405976054,0.0,-1.66894933333,1.93717333333,-1.45198592,-0.745066666667,-0.368808,0.2794,0.640757333333,1.46360896
14.7311961319,16.406368,8.896096,0.536448,3.3528,9.700768,18.596864,24.721312,29.147008,0.0038867419189,0.0,-2.13089066667,1.86266666667,-1.75835733333,-0.651188266667,-0.208618666667,0.193717333333,0.745066666667,1.475232
21.797058381,24.184864,3.308096,0.9432544,12.651232,21.949664,25.25776,26.107136,28.074112,-0.00147209798942,0.0,-1.1176,0.745066666667,-0.7398512,-0.283125333333,-0.104309333333,0.104309333333,0.283125333333,0.535702933333
11.5567822857,15.556992,14.171168,1.151128,2.637536,3.621024,17.792192,18.596864,20.2442064,-0.056864552381,0.0,-1.84776533333,0.9432544,-1.4953488,-0.5588,-0.193717333333,0.193717333333,0.283125333333,0.785076746667
7.49430628571,6.660896,8.761984,0.536448,0.849376,2.771648,11.533632,16.674592,17.6200816,0.015791144113,-0.0773723076923,-1.207008,2.13089066667,-1.10046346667,-0.640757333333,-0.283125333333,0.271949333333,0.700362666667,1.93419306667
23.4191909181,27.49296,13.053568,0.849376,6.660896,17.21104,30.264608,31.650432,32.768032,0.000546004369173,0.0,-2.22029866667,1.77325866667,-1.91929173333,-0.426178133333,-0.104309333333,0.178816,0.551349333333,1.475232
7.12848956322,5.81152,9.16432,0.536448,1.1176,2.771648,11.935968,14.8327872,15.825216,0.00699501876412,0.0,-1.49013333333,1.57954133333,-1.41324245333,-0.646717866667,-0.283125333333,0.372533333333,0.640757333333,1.48983530667
14.2516986099,15.556992,14.171168,0.536448,3.039872,6.92912,21.100288,24.184864,26.2680704,-0.0498869274628,-0.00417237333333,-1.75835733333,1.75835733333,-1.49013333333,-1.028192,-0.551349333333,0.372533333333,1.028192,1.63318613333
21.1508988348,22.486112,2.503424,2.32103168,13.053568,21.100288,23.603712,24.989536,27.224736,-0.028055228028,0.0,-1.385824,2.13089066667,-1.02342357333,-0.283125333333,-0.178816,0.089408,0.193717333333,0.730165333333
11.8833326452,13.321792,12.003024,0.536448,2.3156672,6.124448,18.127472,20.7515968,21.68144,0.00548885806452,0.0,-2.592832,2.503424,-2.28914282667,-1.66894933333,-0.551349333333,0.733890666667,1.654048,2.37855082667
11.1737074872,13.74648,14.439392,0.536448,1.3053568,3.039872,17.479264,18.909792,20.05466144,-0.000523792993331,0.0,-1.93717333333,2.13089066667,-1.93717333333,-0.961136,-0.2794,0.283125333333,1.207008,1.98172832
