sampno,perno,gpstripid,gpstravdayid,localid,time_local,gpsspeed
3205715,2,1,1,1,2014-12-08 10:42:52,2.9
3205715,2,1,1,2,2014-12-08 10:42:55,3.7
3205715,2,1,1,3,2014-12-08 10:42:58,9.9
3205715,2,1,1,4,2014-12-08 10:43:01,22.4
3205715,2,1,1,5,2014-12-08 10:43:04,24.2
3205715,2,1,1,6,2014-12-08 10:43:07,20.5
3205715,2,1,1,7,2014-12-08 10:43:10,10.6
3205715,2,1,1,8,2014-12-08 10:43:13,8.7
3205715,2,1,1,9,2014-12-08 10:43:16,16.8
3205715,2,1,1,10,2014-12-08 10:43:19,19.3
3205715,2,1,1,11,2014-12-08 10:43:22,10.6
3205715,2,1,1,12,2014-12-08 10:43:31,1.9
3205715,2,1,1,13,2014-12-08 10:43:34,8.7
3205715,2,1,1,14,2014-12-08 10:43:37,16.2
3205715,2,1,1,15,2014-12-08 10:43:40,23.6
3205715,2,1,1,16,2014-12-08 10:43:43,32.3
3205715,2,1,1,17,2014-12-08 10:43:46,33.6
3205715,2,1,1,18,2014-12-08 10:43:49,32.9
3205715,2,1,1,19,2014-12-08 10:43:52,32.3
3205715,2,1,1,20,2014-12-08 10:43:55,31.7
3205715,2,1,1,21,2014-12-08 10:43:58,31.1
3205715,2,1,1,22,2014-12-08 10:44:01,31.1
3205715,2,1,1,23,2014-12-08 10:44:04,24.9
3205715,2,1,1,24,2014-12-08 10:44:07,11.2
3205715,2,1,1,25,2014-12-08 10:44:10,9.9
3205715,2,1,1,26,2014-12-08 10:44:13,19.3
3205715,2,1,1,27,2014-12-08 10:44:16,29.2
3205715,2,1,1,28,2014-12-08 10:44:19,31.7
3205715,2,1,1,29,2014-12-08 10:44:22,32.9
3205715,2,1,1,30,2014-12-08 10:44:25,31.7
3205715,2,1,1,31,2014-12-08 10:44:28,32.3
3205715,2,1,1,32,2014-12-08 10:44:31,32.9
3205715,2,1,1,33,2014-12-08 10:44:34,32.3
3205715,2,1,1,34,2014-12-08 10:44:37,29.8
3205715,2,1,1,35,2014-12-08 10:44:40,19.9
3205715,2,1,1,36,2014-12-08 10:44:43,6.8
3205715,2,1,1,37,2014-12-08 10:44:46,18.6
3205715,2,1,1,38,2014-12-08 10:44:49,26.7
3205715,2,1,1,39,2014-12-08 10:44:52,30.4
3205715,2,1,1,40,2014-12-08 10:44:55,31.7
3205715,2,1,1,41,2014-12-08 10:44:58,31.7
3205715,2,1,1,42,2014-12-08 10:45:01,31.7
3205715,2,1,1,43,2014-12-08 10:45:04,30.4
3205715,2,1,1,44,2014-12-08 10:45:07,30.4
3205715,2,1,1,45,2014-12-08 10:45:10,29.2
3205715,2,1,1,46,2014-12-08 10:45:13,25.5
3205715,2,1,1,47,2014-12-08 10:45:16,10.6
3205715,2,1,1,48,2014-12-08 10:45:19,10.6
3205715,2,1,1,49,2014-12-08 10:45:22,19.3
3205715,2,1,1,50,2014-12-08 10:45:25,23.0
3205715,2,1,1,51,2014-12-08 10:45:28,23.0
3205715,2,1,1,52,2014-12-08 10:45:31,24.2
3205715,2,1,1,53,2014-12-08 10:45:34,25.5
3205715,2,1,1,54,2014-12-08 10:45:37,26.1
3205715,2,1,1,55,2014-12-08 10:45:40,27.3
3205715,2,1,1,56,2014-12-08 10:45:43,28.6
3205715,2,1,1,57,2014-12-08 10:45:46,29.2
3205715,2,1,1,58,2014-12-08 10:45:49,30.4
3205715,2,1,1,59,2014-12-08 10:45:52,23.6
3205715,2,1,1,60,2014-12-08 10:45:55,11.8
3205715,2,1,1,61,2014-12-08 10:45:58,8.7
3205715,2,1,1,62,2014-12-08 10:46:01,18.6
3205715,2,1,1,63,2014-12-08 10:46:04,30.4
3205715,2,1,1,64,2014-12-08 10:46:07,33.6
3205715,2,1,1,65,2014-12-08 10:46:10,34.8
3205715,2,1,1,66,2014-12-08 10:46:13,34.8
3205715,2,1,1,67,2014-12-08 10:46:16,35.4
3205715,2,1,1,68,2014-12-08 10:46:19,34.2
3205715,2,1,1,69,2014-12-08 10:46:22,31.7
3205715,2,1,1,70,2014-12-08 10:46:25,27.3
3205715,2,1,1,71,2014-12-08 10:46:28,11.8
3205715,2,1,1,72,2014-12-08 10:46:31,8.7
3205715,2,1,1,73,2014-12-08 10:46:34,20.5
3205715,2,1,1,74,2014-12-08 10:46:37,30.4
3205715,2,1,1,75,2014-12-08 10:46:40,32.9
3205715,2,1,1,76,2014-12-08 10:46:43,34.2
3205715,2,1,1,77,2014-12-08 10:46:46,35.4
3205715,2,1,1,78,2014-12-08 10:46:49,36.0
3205715,2,1,1,79,2014-12-08 10:46:52,33.6
3205715,2,1,1,80,2014-12-08 10:46:55,32.9
3205715,2,1,1,81,2014-12-08 10:46:58,21.7
3205715,2,1,1,82,2014-12-08 10:47:01,5.6
3205715,2,1,1,83,2014-12-08 10:47:04,14.9
3205715,2,1,1,84,2014-12-08 10:47:07,27.3
3205715,2,1,1,85,2014-12-08 10:47:10,32.9
3205715,2,1,1,86,2014-12-08 10:47:13,34.8
3205715,2,1,1,87,2014-12-08 10:47:16,36.0
3205715,2,1,1,88,2014-12-08 10:47:19,35.4
3205715,2,1,1,89,2014-12-08 10:47:22,34.8
3205715,2,1,1,90,2014-12-08 10:47:25,34.2
