sampno,perno,gpstripid,gpstravdayid,gpstravdaytripid,start_time,end_time,duration_min,distance_miles,avg_speed_mph,max_speed_mph,travel_mode,nbstages,travmodelist,numuniqmodes,uniqmodelist,distfromlastdest,gaptime,tripareatype,workrelated,no_transport,onsite,looptrip,origin_loc_type,destination_loc_type
3218062,1,1,1,1,2014-12-09 10:48:25,2014-12-09 10:50:39,2.23,0.102,2.74,3.7,1,1,1,1,1,,2.43,1,0,0,0,0,OTHER,HOME
3218062,1,2,1,2,2014-12-09 10:53:05,2014-12-09 10:55:20,2.25,0.0711,1.89,3.7,1,1,1,1,1,7.857292,3.42,1,0,0,0,0,HOME,HOME
3218062,1,3,1,3,2014-12-09 10:58:45,2014-12-09 11:03:09,4.4,0.2381,3.25,4.3,1,1,1,1,1,56.241827,0.78,1,0,0,0,0,HOME,OTHER
3218062,1,4,1,4,2014-12-09 11:03:56,2014-12-09 11:05:40,1.73,0.0822,2.85,5.0,1,1,1,1,1,13.878516,136.85,1,0,0,0,0,OTHER,OTHER
3218062,1,5,1,5,2014-12-09 13:22:31,2014-12-09 13:26:34,4.05,0.1891,2.8,3.9,1,1,1,1,1,14.561826,0.52,1,0,0,0,0,OTHER,OTHER
3218062,1,6,1,6,2014-12-09 13:27:05,2014-12-09 13:31:17,4.2,0.1441,2.06,3.7,1,1,1,1,1,43.84405,5.17,1,0,0,0,0,OTHER,HOME
3218062,1,7,1,7,2014-12-09 13:36:27,2014-12-09 13:38:35,2.13,0.0875,2.46,4.3,1,1,1,1,1,14.561824,191.92,1,0,0,0,0,HOME,OTHER
3218062,1,8,1,8,2014-12-09 16:50:30,2014-12-09 17:03:13,12.72,0.7268,3.43,4.3,1,1,1,1,1,1022.380212,27.48,1,0,0,0,0,HOME,OTHER
3218062,1,9,1,9,2014-12-09 17:30:42,2014-12-09 17:35:30,4.8,0.3543,4.43,5.6,1,1,1,1,1,39.151207,452.97,1,0,0,0,0,OTHER,WORK
3218062,1,10,1,10,2014-12-10 01:08:28,2014-12-10 01:16:58,8.5,0.3201,2.26,3.1,1,1,1,1,1,375.257872,5.18,1,0,0,0,0,WORK,WORK
3218062,1,11,1,11,2014-12-10 01:22:09,2014-12-10 01:25:50,3.68,0.9929,16.17,44.1,3,1,3,1,3,37.089411,5.32,1,0,0,0,0,WORK,OTHER
3218062,1,12,1,12,2014-12-10 01:31:09,2014-12-10 01:35:34,4.42,0.484,6.57,28.6,4,1,4,1,4,73.412751,601.38,1,0,0,0,0,OTHER,OTHER
3218062,1,13,2,1,2014-12-10 11:36:57,2014-12-10 11:40:55,3.97,0.2465,3.73,4.3,1,1,1,1,1,1194.452156,1.32,1,0,0,0,0,HOME,HOME
3218062,1,14,2,2,2014-12-10 11:42:14,2014-12-10 11:44:26,2.2,0.1275,3.48,4.3,1,1,1,1,1,34.09262,116.4,1,0,0,0,0,HOME,OTHER
3218062,1,15,2,3,2014-12-10 13:40:50,2014-12-10 13:58:02,17.2,1.1277,3.93,12.4,1,1,1,1,1,78.928001,8.65,1,0,0,0,0,OTHER,OTHER
3218062,1,16,2,4,2014-12-10 14:06:41,2014-12-10 14:09:51,3.17,0.1311,2.48,3.7,1,1,1,1,1,26.368379,14.87,1,0,0,0,0,OTHER,OTHER
3218062,1,17,2,5,2014-12-10 14:24:43,2014-12-10 14:51:37,26.9,1.3284,2.96,4.3,1,1,1,1,1,39.089337,148.27,1,0,0,0,0,OTHER,OTHER
3218062,1,18,2,6,2014-12-10 17:19:53,2014-12-10 17:42:46,22.88,5.3151,13.94,42.3,3,1,3,1,3,153.965328,100.55,1,0,0,0,0,OTHER,OTHER
3218062,1,19,2,7,2014-12-10 19:23:19,2014-12-10 19:33:34,10.25,2.5199,14.75,23.6,3,2,"3,1",2,"1,3",5952.23819,88.72,1,0,0,0,0,OTHER,OTHER
3218062,1,20,2,8,2014-12-10 21:02:17,2014-12-10 21:10:34,8.28,1.033,7.48,32.9,3,3,"1,3,1",2,"1,3",14.858359,0.0,1,0,0,0,0,OTHER,OTHER
