sampno,perno,gpstripid,gpstravdayid,localid,time_local,gpsspeed
3204480,2,1,1,6,2014-12-16 14:11:14,2.5
3204480,2,1,1,7,2014-12-16 14:11:17,14.3
3204480,2,1,1,8,2014-12-16 14:11:20,26.1
3204480,2,1,1,9,2014-12-16 14:11:23,33.6
3204480,2,1,1,10,2014-12-16 14:11:26,33.6
3204480,2,1,1,11,2014-12-16 14:11:29,31.7
3204480,2,1,1,12,2014-12-16 14:11:32,32.3
3204480,2,1,1,13,2014-12-16 14:11:35,31.7
3204480,2,1,1,14,2014-12-16 14:11:40,34.2
3204480,2,1,1,15,2014-12-16 14:11:45,35.4
3204480,2,1,1,16,2014-12-16 14:11:48,39.1
3204480,2,1,1,17,2014-12-16 14:11:51,42.9
3204480,2,1,1,18,2014-12-16 14:11:54,44.7
3204480,2,1,1,19,2014-12-16 14:11:59,41.6
3204480,2,1,1,20,2014-12-16 14:12:02,41.6
3204480,2,1,1,21,2014-12-16 14:12:05,36.7
3204480,2,1,1,22,2014-12-16 14:12:08,36.7
3204480,2,1,1,23,2014-12-16 14:12:11,39.1
3204480,2,1,1,24,2014-12-16 14:12:14,37.3
3204480,2,1,1,25,2014-12-16 14:12:17,37.9
3204480,2,1,1,26,2014-12-16 14:12:20,42.3
3204480,2,1,1,27,2014-12-16 14:12:23,47.2
3204480,2,1,1,28,2014-12-16 14:12:26,47.2
3204480,2,1,1,29,2014-12-16 14:12:29,46.0
3204480,2,1,1,30,2014-12-16 14:12:32,45.4
3204480,2,1,1,31,2014-12-16 14:12:35,45.4
3204480,2,1,1,32,2014-12-16 14:12:38,46.0
3204480,2,1,1,33,2014-12-16 14:12:41,45.4
3204480,2,1,1,34,2014-12-16 14:12:44,46.0
3204480,2,1,1,35,2014-12-16 14:12:47,45.4
3204480,2,1,1,36,2014-12-16 14:12:50,45.4
3204480,2,1,1,37,2014-12-16 14:12:53,45.4
3204480,2,1,1,38,2014-12-16 14:12:56,45.4
3204480,2,1,1,39,2014-12-16 14:12:59,46.6
3204480,2,1,1,40,2014-12-16 14:13:02,46.6
3204480,2,1,1,41,2014-12-16 14:13:05,46.6
3204480,2,1,1,42,2014-12-16 14:13:08,46.6
3204480,2,1,1,43,2014-12-16 14:13:11,45.4
3204480,2,1,1,44,2014-12-16 14:13:14,45.4
3204480,2,1,1,45,2014-12-16 14:13:17,46.0
3204480,2,1,1,46,2014-12-16 14:13:20,46.6
3204480,2,1,1,47,2014-12-16 14:13:23,44.7
3204480,2,1,1,48,2014-12-16 14:13:26,42.3
3204480,2,1,1,49,2014-12-16 14:13:29,29.8
3204480,2,1,1,50,2014-12-16 14:13:32,11.8
3204480,2,1,1,51,2014-12-16 14:13:35,4.3
3204480,2,1,1,52,2014-12-16 14:13:38,14.3
3204480,2,1,1,53,2014-12-16 14:13:41,31.1
3204480,2,1,1,54,2014-12-16 14:13:44,40.4
3204480,2,1,1,55,2014-12-16 14:13:47,44.7
3204480,2,1,1,56,2014-12-16 14:13:50,46.6
3204480,2,1,1,57,2014-12-16 14:13:53,48.5
3204480,2,1,1,58,2014-12-16 14:13:56,49.7
3204480,2,1,1,59,2014-12-16 14:13:59,50.3
3204480,2,1,1,60,2014-12-16 14:14:02,51.6
3204480,2,1,1,61,2014-12-16 14:14:05,52.2
3204480,2,1,1,62,2014-12-16 14:14:08,53.4
3204480,2,1,1,63,2014-12-16 14:14:11,54.7
3204480,2,1,1,64,2014-12-16 14:14:14,54.1
3204480,2,1,1,65,2014-12-16 14:14:17,51.6
3204480,2,1,1,66,2014-12-16 14:14:20,49.7
3204480,2,1,1,67,2014-12-16 14:14:23,49.1
3204480,2,1,1,68,2014-12-16 14:14:26,49.1
3204480,2,1,1,69,2014-12-16 14:14:29,48.5
3204480,2,1,1,70,2014-12-16 14:14:32,48.5
3204480,2,1,1,71,2014-12-16 14:14:35,49.1
3204480,2,1,1,72,2014-12-16 14:14:38,48.5
3204480,2,1,1,73,2014-12-16 14:14:41,47.8
3204480,2,1,1,74,2014-12-16 14:14:44,47.2
3204480,2,1,1,75,2014-12-16 14:14:47,45.4
3204480,2,1,1,76,2014-12-16 14:14:50,45.4
3204480,2,1,1,77,2014-12-16 14:14:53,44.1
3204480,2,1,1,78,2014-12-16 14:14:56,45.4
3204480,2,1,1,79,2014-12-16 14:14:59,45.4
3204480,2,1,1,80,2014-12-16 14:15:02,46.6
3204480,2,1,1,81,2014-12-16 14:15:05,46.0
3204480,2,1,1,82,2014-12-16 14:15:08,46.6
3204480,2,1,1,83,2014-12-16 14:15:11,45.4
3204480,2,1,1,84,2014-12-16 14:15:14,47.2
3204480,2,1,1,85,2014-12-16 14:15:17,46.6
3204480,2,1,1,86,2014-12-16 14:15:20,42.9
3204480,2,1,1,87,2014-12-16 14:15:23,40.4
3204480,2,1,1,88,2014-12-16 14:15:26,37.9
3204480,2,1,1,89,2014-12-16 14:15:29,26.7
3204480,2,1,1,90,2014-12-16 14:15:32,9.3
3204480,2,1,1,91,2014-12-16 14:15:45,1.9
3204480,2,1,1,92,2014-12-16 14:15:48,11.2
3204480,2,1,1,93,2014-12-16 14:15:51,14.9
3204480,2,1,1,94,2014-12-16 14:15:54,16.2
3204480,2,1,1,95,2014-12-16 14:15:57,22.4
3204480,2,1,1,96,2014-12-16 14:16:00,31.1
3204480,2,1,1,97,2014-12-16 14:16:03,35.4
3204480,2,1,1,98,2014-12-16 14:16:06,38.5
3204480,2,1,1,99,2014-12-16 14:16:09,40.4
3204480,2,1,1,100,2014-12-16 14:16:12,41.0
3204480,2,1,1,101,2014-12-16 14:16:15,40.4
3204480,2,1,1,102,2014-12-16 14:16:18,41.0
3204480,2,1,1,103,2014-12-16 14:16:21,42.3
3204480,2,1,1,104,2014-12-16 14:16:24,41.6
3204480,2,1,1,105,2014-12-16 14:16:27,41.6
3204480,2,1,1,106,2014-12-16 14:16:30,41.0
3204480,2,1,1,107,2014-12-16 14:16:33,36.7
3204480,2,1,1,108,2014-12-16 14:16:36,28.0
3204480,2,1,1,109,2014-12-16 14:16:39,13.7
3204480,2,1,1,110,2014-12-16 14:16:42,14.9
3204480,2,1,1,111,2014-12-16 14:16:45,11.8
3204480,2,1,1,112,2014-12-16 14:16:48,11.8
3204480,2,1,1,113,2014-12-16 14:16:51,16.2
3204480,2,1,1,114,2014-12-16 14:16:54,18.0
3204480,2,1,1,115,2014-12-16 14:16:57,18.6
3204480,2,1,1,116,2014-12-16 14:17:00,18.0
3204480,2,1,1,117,2014-12-16 14:17:03,17.4
3204480,2,1,1,118,2014-12-16 14:17:06,14.9
3204480,2,1,1,119,2014-12-16 14:17:09,8.7
3204480,2,1,1,120,2014-12-16 14:17:12,3.7
3204480,2,1,1,121,2014-12-16 14:17:15,1.9
3204480,2,2,1,135,2014-12-16 14:24:38,1.2
3204480,2,2,1,136,2014-12-16 14:24:41,1.2
3204480,2,2,1,138,2014-12-16 14:24:44,2.5
3204480,2,2,1,137,2014-12-16 14:24:44,1.2
3204480,2,2,1,139,2014-12-16 14:24:47,2.5
3204480,2,2,1,140,2014-12-16 14:24:54,9.9
3204480,2,2,1,141,2014-12-16 14:24:57,15.5
3204480,2,2,1,142,2014-12-16 14:25:00,16.8
3204480,2,2,1,143,2014-12-16 14:25:03,18.0
