sampno,perno,gpstripid,gpstravdayid,gpstravdaytripid,start_time,end_time,duration_min,distance_miles,avg_speed_mph,max_speed_mph,travel_mode,nbstages,travmodelist,numuniqmodes,uniqmodelist,distfromlastdest,gaptime,tripareatype,workrelated,no_transport,onsite,looptrip,origin_loc_type,destination_loc_type
3208181,1,1,1,1,2014-12-16 06:19:42,2014-12-16 06:26:18,6.6,2.0524,18.66,36.7,3,2,"3,1",2,"1,3",,276.73,1,0,0,0,0,HOME,WORK
3208181,1,2,1,2,2014-12-16 11:03:02,2014-12-16 11:07:54,4.87,1.4805,18.25,37.3,3,1,3,1,3,2376.496516,47.35,1,0,0,0,0,OTHER,HOME
3208181,1,3,1,3,2014-12-16 11:55:15,2014-12-16 12:02:37,7.37,2.0382,16.6,37.3,3,2,"3,1",2,"1,3",50.832201,252.32,1,0,0,0,0,HOME,WORK
3208181,1,4,1,4,2014-12-16 16:14:56,2014-12-16 16:19:58,5.03,1.5326,18.27,35.4,3,1,3,1,3,2069.901585,842.77,1,0,0,0,0,OTHER,HOME
3208181,1,5,2,1,2014-12-17 06:22:44,2014-12-17 06:30:34,7.83,2.0419,15.64,37.3,3,2,"3,1",2,"1,3",14.074355,271.77,1,0,0,0,0,HOME,WORK
3208181,1,6,2,2,2014-12-17 11:02:20,2014-12-17 11:06:58,4.63,1.7251,22.34,37.9,3,1,3,1,3,990.605736,45.95,1,0,0,0,0,WORK,HOME
3208181,1,7,2,3,2014-12-17 11:52:55,2014-12-17 12:01:32,8.62,2.0335,14.16,37.9,3,2,"3,1",2,"1,3",27.575743,211.9,1,0,0,0,0,HOME,WORK
3208181,1,8,2,4,2014-12-17 15:33:26,2014-12-17 15:39:36,6.17,1.7378,16.91,38.5,3,1,3,1,3,948.971891,16.12,1,0,0,0,0,WORK,HOME
3208181,1,9,2,5,2014-12-17 15:55:43,2014-12-17 15:59:35,3.87,1.2388,19.22,34.8,3,1,3,1,3,25.653833,4.43,1,0,0,0,0,HOME,OTHER
3208181,1,10,2,6,2014-12-17 16:04:01,2014-12-17 16:06:02,2.02,0.5542,16.49,26.7,3,1,3,1,3,7.859102,2.4,1,0,0,0,0,OTHER,OTHER
3208181,1,11,2,7,2014-12-17 16:08:26,2014-12-17 16:12:07,3.68,0.7505,12.22,25.5,3,1,3,1,3,2.958978,4.37,1,0,0,0,0,OTHER,OTHER
3208181,1,12,2,8,2014-12-17 16:16:29,2014-12-17 16:20:23,3.9,0.9818,15.1,41.6,3,1,3,1,3,11.314886,6.08,1,0,0,0,0,OTHER,OTHER
3208181,1,13,2,9,2014-12-17 16:26:28,2014-12-17 16:27:52,1.4,0.4667,20.0,36.0,3,1,3,1,3,26.382096,4.23,1,0,0,0,0,OTHER,OTHER
3208181,1,14,2,10,2014-12-17 16:32:06,2014-12-17 16:33:39,1.55,0.479,18.54,36.7,3,1,3,1,3,32.896693,6.63,1,0,0,0,0,OTHER,OTHER
3208181,1,15,2,11,2014-12-17 16:40:17,2014-12-17 16:45:17,5.0,1.9326,23.19,37.3,3,1,3,1,3,34.335205,817.03,1,0,0,0,0,OTHER,HOME
3208181,1,16,3,1,2014-12-18 06:22:19,2014-12-18 06:29:43,7.4,2.0432,16.57,34.8,3,2,"3,1",2,"1,3",66.944308,274.18,1,0,0,0,0,HOME,WORK
3208181,1,17,3,2,2014-12-18 11:03:54,2014-12-18 11:09:38,5.73,1.4517,15.19,34.8,3,1,3,1,3,2460.557564,46.28,1,0,0,0,0,OTHER,HOME
3208181,1,18,3,3,2014-12-18 11:55:55,2014-12-18 12:04:40,8.75,2.0566,14.1,37.3,3,2,"3,1",2,"1,3",6.948529,238.92,1,0,0,0,0,HOME,WORK
3208181,1,19,3,4,2014-12-18 16:03:35,2014-12-18 16:08:34,4.98,1.0166,12.24,42.3,3,2,"3,1",2,"1,3",31.436416,3.98,1,0,0,0,0,WORK,OTHER
3208181,1,20,3,5,2014-12-18 16:12:33,2014-12-18 16:19:38,7.08,1.4509,12.29,36.0,3,2,"1,3",2,"1,3",18.123527,0.0,1,0,0,0,0,OTHER,HOME
