id,sampno,perno,gpstripid,gpstravdayid,gpstravdaytripid,start_time,end_time,duration_min,distance_miles,avg_speed_mph,max_speed_mph,travel_mode,nbstages,travmodelist,numuniqmodes,uniqmodelist,distfromlastdest,gaptime,tripareatype,workrelated,no_transport,onsite,looptrip,origin_loc_type,destination_loc_type
1,3198775,1,1,1,1,25/11/2014 06:13,25/11/2014 07:39,86.07,85.1226,59.34,82,3,2,"3,1",2,"1,3",,42.73,1,0,0,0,0,HOME,OTHER
2,3198775,1,2,1,2,25/11/2014 08:22,25/11/2014 10:05,103.47,81.2496,47.12,80.8,3,3,"1,3,1",2,"1,3",21.750218,4.68,2,0,0,0,0,OTHER,OTHER
3,3198775,1,3,1,3,25/11/2014 10:10,25/11/2014 11:02,51.57,12.9421,15.06,32.3,3,2,"1,3",2,"1,3",56.408373,3.53,4,0,0,1,0,OTHER,OTHER
4,3198775,1,4,1,4,25/11/2014 11:05,25/11/2014 12:19,74.05,48.2137,39.07,73.9,3,1,3,1,3,16.280099,64.65,4,0,0,0,0,OTHER,OTHER
5,3198775,1,5,1,5,25/11/2014 13:24,25/11/2014 15:23,119.17,122.8519,61.86,84.5,3,2,"1,3",2,"1,3",19.117374,926.47,3,0,0,0,0,OTHER,HOME
6,3198775,1,6,2,1,26/11/2014 06:50,26/11/2014 06:59,9.87,4.0434,24.59,57.8,3,1,3,1,3,4.683408,2.95,1,0,0,0,0,HOME,OTHER
7,3198775,1,7,2,2,26/11/2014 07:02,26/11/2014 07:05,2.28,0.2293,6.03,21.1,3,2,"3,1",2,"1,3",6.929201,57.97,1,0,0,0,0,OTHER,OTHER
8,3198775,1,8,2,3,26/11/2014 08:03,26/11/2014 08:15,12.35,4.355,21.16,52.8,3,2,"1,3",2,"1,3",62.159555,287.07,1,0,0,0,0,OTHER,HOME
9,3198775,1,9,2,4,26/11/2014 13:02,26/11/2014 13:11,8.58,4.0368,28.22,59,3,1,3,1,3,4.683408,0.23,1,0,0,0,0,HOME,OTHER
10,3198775,1,10,2,5,26/11/2014 13:11,26/11/2014 13:13,2.4,0.6013,15.03,42.9,3,1,3,1,3,22.041342,24.08,1,0,0,0,0,OTHER,OTHER
11,3198775,1,11,2,6,26/11/2014 13:37,26/11/2014 13:40,2.93,0.5817,11.9,41,3,1,3,1,3,34.074802,0.4,1,0,0,0,0,OTHER,OTHER
12,3198775,1,12,2,7,26/11/2014 13:41,26/11/2014 13:55,14.78,4.3732,17.75,51.6,3,1,3,1,3,14.562213,47.43,1,0,0,0,0,OTHER,HOME
13,3198775,1,13,2,8,26/11/2014 14:43,26/11/2014 15:04,21.17,9.5388,27.04,57.8,3,1,3,1,3,14.562319,52.65,1,0,0,0,0,HOME,OTHER
14,3198775,1,14,2,9,26/11/2014 15:57,26/11/2014 16:06,9.3,5.208,33.6,74.6,3,1,3,1,3,12.413658,19.47,1,0,0,0,0,OTHER,OTHER
15,3198775,1,15,2,10,26/11/2014 16:25,26/11/2014 16:36,10.15,4.8997,28.96,70.2,3,1,3,1,3,15.712941,216.9,1,0,0,0,0,OTHER,OTHER
16,3198775,1,16,2,11,26/11/2014 20:12,26/11/2014 20:34,21.47,10.2169,28.56,52.2,3,1,3,1,3,28.083606,791.6,1,0,0,0,0,OTHER,HOME
17,3198775,1,17,3,1,27/11/2014 09:46,27/11/2014 10:06,20.27,9.5361,28.23,52.8,3,1,3,1,3,22.90325,94.67,1,0,0,0,0,HOME,OTHER
18,3198775,1,18,3,2,27/11/2014 11:40,27/11/2014 11:51,10.57,5.2178,29.63,70.2,3,1,3,1,3,38.27021,74.6,1,0,0,0,0,OTHER,OTHER
19,3198775,1,19,3,3,27/11/2014 13:06,27/11/2014 13:08,2.5,0.6556,15.73,35.4,3,1,3,1,3,37.493075,0.1,1,0,0,0,0,OTHER,OTHER
20,3198775,1,20,3,4,27/11/2014 13:08,27/11/2014 13:11,2.6,0.6428,14.83,27.3,3,1,3,1,3,18.440199,160.52,1,0,0,0,0,OTHER,OTHER
21,3198775,1,21,3,5,27/11/2014 15:51,27/11/2014 16:03,11.62,5.2458,27.09,62.8,3,1,3,1,3,11.313274,242.63,1,0,0,0,0,OTHER,OTHER
22,3198775,1,22,3,6,27/11/2014 20:06,27/11/2014 20:27,21.5,9.5545,26.66,54.1,3,1,3,1,3,22.92211,0,1,0,0,0,0,OTHER,HOME
23,sampno,perno,gpstripid,gpstravdayid,gpstravdaytripid,start_time,end_time,duration_min,distance_miles,avg_speed_mph,max_speed_mph,travel_mode,nbstages,travmodelist,numuniqmodes,uniqmodelist,distfromlastdest,gaptime,tripareatype,workrelated,no_transport,onsite,looptrip,origin_loc_type,destination_loc_type
24,3198775,2,1,1,1,25/11/2014 08:19,25/11/2014 08:26,7.73,2.9275,22.71,47.8,3,1,3,1,3,,0.43,1,0,0,0,0,OTHER,OTHER
25,3198775,2,2,1,2,25/11/2014 08:27,25/11/2014 08:33,6.32,0.8785,8.34,39.1,3,2,"3,1",2,"1,3",17.745857,8.08,1,0,0,0,0,OTHER,OTHER
26,3198775,2,3,1,3,25/11/2014 08:41,25/11/2014 08:50,8.77,4.2705,29.23,65.9,3,2,"1,3",2,"1,3",104.184697,1.12,1,0,0,0,0,OTHER,OTHER
27,3198775,2,4,1,4,25/11/2014 08:51,25/11/2014 09:15,23.63,17.5414,44.53,80.8,3,1,3,1,3,41.689988,8.28,1,0,0,0,0,OTHER,OTHER
28,3198775,2,5,1,5,25/11/2014 09:23,25/11/2014 09:25,2.08,0.1115,3.21,3.7,1,1,1,1,1,9.37654,3266.47,1,0,0,0,0,OTHER,WORK
29,3198775,2,6,3,1,27/11/2014 15:52,27/11/2014 16:03,11.43,5.2384,27.49,62.8,3,1,3,1,3,66692.62827,0,1,0,0,0,0,OTHER,OTHER
30,sampno,perno,gpstripid,gpstravdayid,gpstravdaytripid,start_time,end_time,duration_min,distance_miles,avg_speed_mph,max_speed_mph,travel_mode,nbstages,travmodelist,numuniqmodes,uniqmodelist,distfromlastdest,gaptime,tripareatype,workrelated,no_transport,onsite,looptrip,origin_loc_type,destination_loc_type
31,3199823,1,1,1,1,08/12/2014 08:32,08/12/2014 08:57,24.58,1.1198,2.73,3.1,1,1,1,1,1,,19.52,1,0,0,0,0,HOME,OTHER
32,3199823,1,2,1,2,08/12/2014 09:16,08/12/2014 09:41,24.47,1.1002,2.7,3.1,1,1,1,1,1,36.880802,13.38,1,0,0,0,0,OTHER,HOME
33,3199823,1,3,1,3,08/12/2014 09:54,08/12/2014 10:00,6.37,0.2306,2.17,2.5,1,1,1,1,1,109.850987,9.15,1,0,0,0,0,HOME,OTHER
34,3199823,1,4,1,4,08/12/2014 10:10,08/12/2014 10:16,6.45,0.2205,2.05,2.5,1,1,1,1,1,47.896593,48.97,1,0,0,0,0,OTHER,HOME
35,3199823,1,5,1,5,08/12/2014 11:05,08/12/2014 11:31,26.02,1.2006,2.77,3.1,1,1,1,1,1,33.295365,16.33,1,0,0,0,0,HOME,OTHER
36,3199823,1,6,1,6,08/12/2014 11:47,08/12/2014 12:13,25.22,1.1861,2.82,3.1,1,1,1,1,1,144.057231,1280.75,1,0,0,0,0,OTHER,HOME
37,3199823,1,7,2,1,09/12/2014 09:33,09/12/2014 09:59,25.28,1.1724,2.78,3.7,1,1,1,1,1,15.714398,54.08,1,0,0,0,0,HOME,OTHER
38,3199823,1,8,2,2,09/12/2014 10:53,09/12/2014 11:15,22.32,0.9877,2.66,3.7,1,1,1,1,1,216.082963,13.8,1,0,0,0,0,OTHER,OTHER
39,3199823,1,9,2,3,09/12/2014 11:29,09/12/2014 11:41,12.5,0.5378,2.58,3.1,1,1,1,1,1,0,1283.55,1,0,0,0,0,OTHER,HOME
40,3199823,1,10,3,1,10/12/2014 09:05,10/12/2014 09:35,30.13,1.3773,2.74,3.4,1,1,1,1,1,43.653307,43.22,1,0,0,0,0,HOME,OTHER
41,3199823,1,11,3,2,10/12/2014 10:18,10/12/2014 10:50,31.93,1.3672,2.57,3.1,1,1,1,1,1,38.571641,39.88,1,0,0,0,0,OTHER,HOME
42,3199823,1,12,3,3,10/12/2014 11:30,10/12/2014 11:44,14.23,0.4066,1.71,2.5,1,1,1,1,1,75.327705,0.05,1,0,0,0,0,HOME,OTHER
43,3199823,1,13,3,4,10/12/2014 11:44,10/12/2014 11:46,1.5,1.5655,62.62,24.9,6,1,6,1,6,10.921372,0.05,1,0,0,0,0,OTHER,OTHER
44,3199823,1,14,3,5,10/12/2014 11:46,10/12/2014 11:49,2.73,0.1057,2.32,2.5,1,1,1,1,1,11.815372,40.23,1,0,0,0,0,OTHER,OTHER
45,3199823,1,15,3,6,10/12/2014 12:29,10/12/2014 12:58,29.68,5.7039,11.53,41,6,1,6,1,6,11.313767,0.05,1,0,0,0,0,OTHER,OTHER
46,3199823,1,16,3,7,10/12/2014 12:59,10/12/2014 13:02,3.15,0.1031,1.96,3.1,1,1,1,1,1,14.562026,158.75,1,0,0,0,0,OTHER,OTHER
47,3199823,1,17,3,8,10/12/2014 15:40,10/12/2014 15:45,4.6,0.1435,1.87,3.1,1,1,1,1,1,18.356591,5.52,1,0,0,0,0,OTHER,OTHER
48,3199823,1,18,3,9,10/12/2014 15:51,10/12/2014 16:27,36.5,5.6385,9.27,39.8,6,1,6,1,6,46.730911,0.05,1,0,0,0,0,OTHER,OTHER
